calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
1,15.79,15.79,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-513236529714368541,121,6804,0,0,0,15.79,260876
1,15.49,15.49,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-1552191084105173731,145,5889,0,0,0,15.49,302564
1,15.21,15.21,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",2776477804188418798,124,6970,0,0,0,15.21,258300
1,14.64,14.64,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",8886272399383979786,113,6352,0,0,0,14.64,243768
1,14.19,14.19,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",9009051149531888828,127,5874,0,0,0,14.19,271066
1,13.94,13.94,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",15774242109729133,116,6516,0,0,0,13.94,237422
1,5.09,5.09,"select
      (select count(*)::bigint from public.restaurants) as restaurants,
      (select count(*)::bigint from public.table_inventory) as table_inventory,
      (select count(*)::bigint from public.table_adjacencies) as table_adjacencies,
      (select count(*)::bigint from public.customers) as customers,
      (select count(*)::bigint from public.bookings) as bookings,
      (select count(*)::bigint from public.booking_table_assignments) as assignments",1156995008051278036,1,316,0,0,0,5.09,0
2,3.75,2.48,"CREATE OR REPLACE FUNCTION public.ops_email_delivery_attempts_feed(
  p_restaurant_id uuid,
  p_range text,
  p_page integer,
  p_page_size integer,
  p_statuses text[] DEFAULT NULL,
  p_recipient_email text DEFAULT NULL,
  p_message_id text DEFAULT NULL,
  p_booking_ref text DEFAULT NULL,
  p_template_type text DEFAULT NULL,
  p_email_type text DEFAULT NULL
)
RETURNS TABLE (
  ""messageId"" text,
  ""recipientEmail"" text,
  ""bookingId"" uuid,
  ""emailType"" text,
  ""templateType"" text,
  ""provider"" ",-6881012133404656828,0,428,0,0,0,4.96,59320
2,2.84,2.22,"CREATE OR REPLACE FUNCTION public.ops_email_delivery_attempts_summary(
  p_restaurant_id uuid,
  p_range text,
  p_statuses text[] DEFAULT NULL,
  p_recipient_email text DEFAULT NULL,
  p_message_id text DEFAULT NULL,
  p_booking_ref text DEFAULT NULL,
  p_template_type text DEFAULT NULL,
  p_email_type text DEFAULT NULL
)
RETURNS TABLE (
  total integer,
  sent integer,
  delivered integer,
  ""deliveryDelayed"" integer,
  bounced integer,
  complained integer,
  failed integer,
  ""deliveredRate""",6709054759452343658,0,797,0,0,0,4.44,8982
1,3.64,3.64,"ALTER TABLE ONLY public.bookings
    ADD CONSTRAINT bookings_booking_type_fkey FOREIGN KEY (booking_type) REFERENCES public.booking_occasions(key) ON UPDATE CASCADE ON DELETE RESTRICT",-4335950474332040479,0,369,3,0,0,3.64,5126
1,3.49,3.49,"CREATE TABLE public.bookings (
    id uuid DEFAULT gen_random_uuid() NOT NULL,
    restaurant_id uuid NOT NULL,
    customer_id uuid NOT NULL,
    booking_date date NOT NULL,
    start_time time without time zone NOT NULL,
    end_time time without time zone NOT NULL,
    start_at timestamp with time zone,
    end_at timestamp with time zone,
    party_size integer NOT NULL,
    seating_preference public.seating_preference_type DEFAULT 'any'::public.seating_preference_type NOT NULL,
    status p",148439027682403649,0,948,0,0,0,3.49,49295
1,2.85,2.85,"ALTER TABLE ONLY public.booking_versions
    ADD CONSTRAINT booking_versions_booking_id_fkey FOREIGN KEY (booking_id) REFERENCES public.bookings(id) ON DELETE CASCADE",8784743234929447710,0,289,4,0,0,2.85,5158
1,2.52,2.52,"ALTER TABLE ONLY public.analytics_events
    ADD CONSTRAINT analytics_events_booking_id_fkey FOREIGN KEY (booking_id) REFERENCES public.bookings(id) ON DELETE CASCADE",454069670868002154,0,332,8,0,0,2.52,5158
1,2.45,2.45,"ALTER TABLE ONLY public.allocations
    ADD CONSTRAINT allocations_booking_id_fkey FOREIGN KEY (booking_id) REFERENCES public.bookings(id) ON DELETE CASCADE",-4092194587240390942,0,655,23,0,0,2.45,4865
1,2.40,2.40,"ALTER TABLE ONLY public.booking_confirmation_results
    ADD CONSTRAINT booking_confirmation_results_booking_id_fkey FOREIGN KEY (booking_id) REFERENCES public.bookings(id) ON DELETE CASCADE",2371578422973778917,0,298,4,0,0,2.40,13038
1,2.32,2.32,"CREATE TABLE public.booking_table_assignments (
    id uuid DEFAULT gen_random_uuid() NOT NULL,
    booking_id uuid NOT NULL,
    table_id uuid NOT NULL,
    slot_id uuid,
    assigned_at timestamp with time zone DEFAULT now() NOT NULL,
    assigned_by uuid,
    notes text,
    created_at timestamp with time zone DEFAULT now() NOT NULL,
    updated_at timestamp with time zone DEFAULT now() NOT NULL,
    idempotency_key text,
    start_at timestamp with time zone,
    end_at timestamp with time z",-6432643738977618134,0,512,0,0,0,2.32,97776
1,2.20,2.20,"ALTER TABLE ONLY public.booking_table_assignments
    ADD CONSTRAINT booking_table_assignments_slot_id_fkey FOREIGN KEY (slot_id) REFERENCES public.booking_slots(id) ON DELETE SET NULL",7167228795386924987,0,234,0,0,0,2.20,5105
1,1.89,1.89,"CREATE INDEX IF NOT EXISTS idx_booking_table_assignments_allocation_id
  ON public.booking_table_assignments (allocation_id)",7707752239660574636,0,189,0,0,0,1.89,2206
1,1.82,1.82,"CREATE TABLE public.customers (
    id uuid DEFAULT gen_random_uuid() NOT NULL,
    restaurant_id uuid NOT NULL,
    full_name text NOT NULL,
    email text NOT NULL,
    phone text NOT NULL,
    email_normalized text GENERATED ALWAYS AS (lower(TRIM(BOTH FROM email))) STORED,
    phone_normalized text GENERATED ALWAYS AS (regexp_replace(phone, '[^0-9]+'::text, ''::text, 'g'::text)) STORED,
    marketing_opt_in boolean DEFAULT false NOT NULL,
    auth_user_id uuid,
    notes text,
    created_at ",5399159058350778854,0,533,0,0,0,1.82,31262
1,1.76,1.76,"CREATE INDEX bta_window_gist ON public.booking_table_assignments USING gist (assignment_window)",-2913701602080708139,0,102,0,0,0,1.76,2134
