calls,max_ms,mean_ms,query_sample,queryid,rows,shared_blks_hit,shared_blks_read,temp_blks_read,temp_blks_written,total_ms,wal_bytes
50,0.88,0.23,"insert into public.zones (id, restaurant_id, name, sort_order, active) values ($1, $2, $3, $4, $5), ($6, $7, $8, $9, $10), ($11, $12, $13, $14, $15), ($16, $17, $18, $19, $20)",9032370418544356066,200,1737,1,0,0,11.74,81466
50,0.38,0.23,"select table_a, table_b from public.table_adjacencies where table_a in (select id from public.table_inventory where restaurant_id=$1)",930976446960789725,5300,2343,0,0,0,11.49,0
316,9.44,0.22,"SELECT * FROM pgbouncer.get_auth($1)",1689837619145390454,316,2706,0,0,0,70.11,0
600,0.36,0.21,"select id, start_at, end_at, booking_date, start_time, end_time, party_size, status, customer_name, customer_email, created_at
      from public.bookings
      where restaurant_id = $1
        and start_at >= $2
        and start_at < $3
      order by start_at desc
      limit $4 offset $5",8925452674337904763,30000,20324,0,0,0,126.18,0
12,0.76,0.19,"INSERT INTO supabase_migrations.schema_migrations(version, name, statements) VALUES($1, $2, $3) ON CONFLICT (version) DO UPDATE SET name = EXCLUDED.name, statements = EXCLUDED.statements",-8577106471194064245,12,107,1,0,0,2.29,26640
50,0.66,0.19,"insert into public.allowed_capacities (restaurant_id, capacity) values ($1, $2), ($3, $4), ($5, $6), ($7, $8) on conflict do nothing",4519287402764224876,200,1611,0,0,0,9.49,46098
50,0.42,0.18,"insert into public.restaurants (
          slug,
          name,
          timezone,
          capacity,
          reservation_interval_minutes,
          reservation_default_duration_minutes,
          reservation_last_seating_buffer_minutes,
          reservation_lifecycle_grace_minutes
        )
        values ($1,$2,$3,$4,$5,$6,$7,$8)
        on conflict (slug) do update
          set name = excluded.name
        returning id",6670871752808795223,50,316,0,0,0,9.16,24146
13,0.75,0.16,"UPDATE ""users"" AS users SET ""last_sign_in_at"" = $1, ""updated_at"" = $2 WHERE users.id = $3",1322086637474572806,13,293,0,0,0,2.06,9887
12,0.80,0.14,"UPDATE ""users"" AS users SET ""role"" = $1, ""updated_at"" = $2 WHERE users.id = $3",426095097594445136,12,177,0,0,0,1.74,3980
200,0.27,0.14,"select b.id, b.status, b.start_time, b.end_time, b.party_size, b.customer_name, b.reference,
             a.table_id, t.table_number, t.capacity, t.section
      from public.bookings b
      left join public.booking_table_assignments a on a.booking_id = b.id
      left join public.table_inventory t on t.id = a.table_id
      where b.restaurant_id = $1
        and b.booking_date = $2
      order by b.start_time asc",-5073827570665881390,3000,11421,0,0,0,28.11,0
50,0.44,0.14,"insert into public.restaurant_memberships (user_id, restaurant_id, role)
        values ($1,$2,$3)
        on conflict do nothing",-7238481234349223922,50,566,0,0,0,6.84,25926
36,2.30,0.11,"select
    schemaname, tablename, format($2, schemaname, tablename)::regclass as oid
    from pg_publication_tables where pubname = $1",4762134411122352677,0,158,3,0,0,4.05,0
10,0.14,0.11,"SELECT
  version(),
  current_setting($1) :: int8 AS version_number,
  (
    SELECT
      COUNT(*) AS active_connections
    FROM
      pg_stat_activity
  ) AS active_connections,
  current_setting($2) :: int8 AS max_connections",-8858865525908234792,10,0,0,0,0,1.06,0
50,0.14,0.09,"select id, table_number, capacity, section, status::text as status, position, notes, zone_id, category::text as category,
              seating_type::text as seating_type, mobility::text as mobility, active, min_party_size, max_party_size
       from public.table_inventory where restaurant_id=$1 order by table_number asc",4553443746166220248,1300,459,0,0,0,4.47,0
10,0.19,0.09,"UPDATE ""sessions"" AS sessions SET ""ip"" = $1, ""refreshed_at"" = $2, ""updated_at"" = $3, ""user_agent"" = $4 WHERE sessions.id = $5",2257680276861578258,10,112,0,0,0,0.89,1613
13,0.27,0.08,"UPDATE ""users"" AS users SET ""confirmation_token"" = $1, ""email_confirmed_at"" = $2, ""updated_at"" = $3 WHERE users.id = $4",-4387738602770036891,13,117,0,0,0,0.99,4685
54,0.17,0.08,"select
        (select count(*)::int from public.table_inventory where restaurant_id=$1) as tables,
        (select count(*)::int from public.restaurant_service_periods where restaurant_id=$1) as periods,
        (select count(*)::int from public.restaurant_operating_hours where restaurant_id=$1) as hours,
        (select count(*)::int from public.allowed_capacities where restaurant_id=$1) as allowed_caps,
        (select count(*)::int from public.restaurant_turn_bands where restaurant_id=$1) as",2200413053937636326,54,721,0,0,0,4.05,0
129,1.14,0.07,"with sub_tables as (
        select
        rr.entity
        from
        pg_publication_tables pub,
        lateral (
        select
        format($8, pub.schemaname, pub.tablename)::regclass entity
        ) rr
        where
        pub.pubname = $1
        and pub.schemaname like (case $2 when $9 then $10 else $2 end)
        and pub.tablename like (case $3 when $11 then $12 else $3 end)
     )
     insert into realtime.subscription as x(
        subscription_id,
        entity,
        fil",-9147814759924160219,0,582,0,0,0,9.54,0
50,0.11,0.07,"select id, name, day_of_week, start_time::text as start_time, end_time::text as end_time, booking_option
       from public.restaurant_service_periods where restaurant_id=$1 order by start_time asc",2920373477232349725,600,98,0,0,0,3.43,0
