schemaname,table_name,index_name,index_size,idx_scan,idx_tup_read,idx_tup_fetch,is_primary,is_unique,is_valid,index_def
public,customers,idx_customers_user_profile_id,8192 bytes,6,0,0,f,f,t,CREATE INDEX idx_customers_user_profile_id ON public.customers USING btree (user_profile_id)
public,loyalty_point_events,loyalty_point_events_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX loyalty_point_events_pkey ON public.loyalty_point_events USING btree (id)
public,loyalty_point_events,idx_loyalty_point_events_booking,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_loyalty_point_events_booking ON public.loyalty_point_events USING btree (booking_id) WHERE (booking_id IS NOT NULL)
public,loyalty_point_events,idx_loyalty_point_events_customer,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_loyalty_point_events_customer ON public.loyalty_point_events USING btree (customer_id)
public,loyalty_points,loyalty_points_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX loyalty_points_pkey ON public.loyalty_points USING btree (id)
public,loyalty_points,loyalty_points_restaurant_id_customer_id_key,8192 bytes,0,0,0,f,t,t,"CREATE UNIQUE INDEX loyalty_points_restaurant_id_customer_id_key ON public.loyalty_points USING btree (restaurant_id, customer_id)"
public,loyalty_points,idx_loyalty_points_restaurant_customer,8192 bytes,0,0,0,f,f,t,"CREATE INDEX idx_loyalty_points_restaurant_customer ON public.loyalty_points USING btree (restaurant_id, customer_id)"
public,loyalty_programs,loyalty_programs_pkey,8192 bytes,0,0,0,t,t,t,CREATE UNIQUE INDEX loyalty_programs_pkey ON public.loyalty_programs USING btree (id)
public,loyalty_programs,loyalty_programs_restaurant_id_key,8192 bytes,0,0,0,f,t,t,CREATE UNIQUE INDEX loyalty_programs_restaurant_id_key ON public.loyalty_programs USING btree (restaurant_id)
public,loyalty_programs,idx_loyalty_programs_restaurant,8192 bytes,0,0,0,f,f,t,CREATE INDEX idx_loyalty_programs_restaurant ON public.loyalty_programs USING btree (restaurant_id)
